unix,low,high,open,close,volume,date,vol_fiat
1691452800,29104.65,30222.0,29179.28,29770.01,15610.0513824,2023-08-08,464711385.75456184
1691366400,28660.53,29246.0,29040.01,29179.21,9200.08523317,2023-08-07,268451219.03656644
1691280000,28955.0,29163.24,29047.33,29040.01,2461.64012073,2023-08-06,71486053.7224004
1691193600,28946.17,29111.87,29077.04,29047.12,2490.84710469,2023-08-05,72351934.751583
1691107200,28747.1,29312.28,29174.84,29076.48,7291.14687702,2023-08-04,212000886.3467345
1691020800,28938.93,29399.97,29163.87,29174.18,8920.01477716,2023-08-03,260234116.71152574
1690934400,28903.79,30033.0,29699.25,29164.22,17967.34799565,2023-08-02,524003689.7616957
1690848000,28477.0,29726.73,29230.61,29697.27,17752.83934133,2023-08-01,527210863.1860992
1690761600,29102.65,29526.99,29280.41,29230.67,8793.06328471,2023-07-31,257027131.16447407
1690675200,29033.0,29450.0,29356.65,29281.39,4387.57256615,2023-07-30,128474223.46273895
1690588800,29253.44,29411.09,29316.05,29355.71,2893.05298823,2023-07-29,84927624.5371133
1690502400,29115.32,29532.45,29214.93,29316.15,7104.73639515,2023-07-28,208283517.8706767
1690416000,29075.0,29571.42,29350.88,29214.92,7327.29083361,2023-07-27,214066215.52064943
1690329600,29089.54,29686.41,29225.11,29353.23,9635.03503236,2023-07-26,282819399.3629205
1690243200,29046.0,29376.51,29176.98,29225.14,7139.21073686,2023-07-25,208644433.27423665
1690156800,28850.0,30099.99,30081.61,29176.98,14484.27543962,2023-07-24,422607414.81628394
1690070400,29733.55,30350.7,29793.62,30081.61,4513.83214295,2023-07-23,135783338.12968615
1689984000,29626.86,30002.38,29907.15,29795.03,3629.48251055,2023-07-22,108140540.28631257
1689897600,29729.48,30060.28,29809.13,29907.98,7597.8102674,2023-07-21,227235157.52119386
1689811200,29564.19,30421.29,29916.69,29809.13,11494.95348803,2023-07-20,342654562.8686397
1689724800,29757.44,30196.24,29861.92,29916.72,8804.54675154,2023-07-19,263403159.89273176
1689638400,29525.0,30249.3,30143.08,29861.93,11124.83936583,2023-07-18,332209174.4036598
1689552000,29668.58,30345.45,30247.56,30143.08,10632.8066781,2023-07-17,320505542.32250255
1689465600,30075.93,30457.03,30302.01,30247.64,4021.41012275,2023-07-16,121638165.6852978
1689379200,30254.67,30406.27,30330.93,30301.65,2559.07232743,2023-07-15,77544113.99046926
1689292800,29920.31,31645.66,31471.83,30330.52,19272.20339271,2023-07-14,584535950.4466585
1689206400,30250.73,31862.21,30383.26,31471.83,26135.6192364,2023-07-13,822535765.5527107
1689120000,30200.0,31000.0,30624.65,30381.81,14881.70511963,2023-07-12,452133137.4206259
1689033600,30304.45,30811.65,30419.89,30626.55,10653.5761104,2023-07-11,326282281.4239711
1688947200,29955.0,31055.75,30168.26,30419.89,12703.78162563,2023-07-10,386447639.63568574
1688860800,30066.95,30451.78,30291.69,30168.38,3884.04687903,2023-07-09,117175402.18439108
1688774400,30047.78,30388.91,30350.35,30291.69,3856.11078847,2023-07-08,116808112.60998881
1688688000,29715.87,30456.0,29895.6,30352.08,11137.14221055,2023-07-07,338035431.3459905
1688601600,29850.0,31525.1,30499.27,29899.38,17229.92231032,2023-07-06,515163994.52673554
1688515200,30189.56,30882.95,30772.93,30499.27,8782.6192239,2023-07-05,267863475.01691654
1688428800,30628.3,31333.0,31162.71,30771.25,7233.95188576,2023-07-04,222597741.96469238
1688342400,30569.0,31399.08,30613.57,31161.8,11391.98257522,2023-07-03,354994682.6124906
1688256000,30165.39,30791.75,30587.22,30613.51,4829.83871313,2023-07-02,147858315.74279237
1688169600,30312.8,30659.33,30466.73,30587.21,4012.76538882,2023-07-01,122739297.62856899
1688083200,29417.14,31277.0,30445.67,30466.72,26013.22734909,2023-06-30,792537713.9410673
1687996800,30036.18,30838.0,30074.93,30446.47,12261.34048625,2023-06-29,373314535.274396
1687910400,29840.0,30716.93,30696.06,30074.94,9391.66542094,2023-06-28,282453774.03484523
1687824000,30228.44,31020.54,30272.24,30697.38,11995.526853,2023-06-27,368231246.1067451
1687737600,29900.0,30662.66,30480.24,30272.18,12491.83081677,2023-06-26,378154951.0148085
1687651200,30288.33,31057.86,30547.3,30480.24,6265.47434464,2023-06-25,190973161.73846993
1687564800,30265.88,30815.92,30709.59,30547.18,6883.28318615,2023-06-24,210264890.47829756
1687478400,29802.65,31443.67,29886.25,30707.61,22659.54058513,2023-06-23,695820335.0673438
1687392000,29539.57,30513.25,29999.85,29886.31,18457.66785815,2023-06-22,551631583.4857069
1687305600,28271.67,30800.0,28320.41,29995.08,31445.78143275,2023-06-21,943218729.7378509
1687219200,26637.41,28417.11,26839.04,28320.43,28704.55295587,2023-06-20,812925282.6680094
1687132800,26250.0,27040.64,26336.46,26837.78,9643.06748389,2023-06-19,258798523.65779334
1687046400,26245.27,26693.11,26507.97,26336.46,5233.68378154,2023-06-18,137836703.56517696
1686960000,26165.98,26783.2,26329.6,26506.56,7209.4251028,2023-06-17,191097059.0528744
1686873600,25143.24,26486.56,25569.99,26329.6,16632.7425402,2023-06-16,437933457.9864499
1686787200,24750.0,25749.99,25123.41,25569.99,18601.18891862,2023-06-15,475632214.6372242
1686700800,24821.0,26090.0,25929.35,25123.34,14480.51749351,2023-06-14,363798964.36539954
1686614400,25710.78,26435.81,25905.99,25930.23,14396.74678337,2023-06-13,373310955.34454423
1686528000,25616.98,26108.64,25936.98,25905.82,10491.06768405,2023-06-12,271779711.0308162
1686441600,25648.0,26219.1,25856.1,25937.02,8653.83803604,2023-06-11,224454770.21753022
